Rain_3day_sum,Rain_7day_sum,Rain_3day_avg,Max_Normalized_River_Level,Avg_Normalized_River_Level,Max_River_Rise,Flood_Label
0.28973099999999996,3.52832,0.09657699999999998,0.5202147820593809,0.2662845297542444,11.0,0
0.279311,3.374147,0.09310366666666665,0.5230574857864814,0.26562876387288636,9.0,0
0.210128,1.524048,0.07004266666666667,0.5268477574226152,0.26513251454322184,12.0,0
0.18985300000000002,0.711582,0.06328433333333335,0.5296904611497157,0.2643956138295799,9.0,0
0.09305000000000001,0.48006899999999997,0.031016666666666668,0.5331648768161719,0.26381664110077674,11.0,0
0.016644,0.374749,0.005548,0.5363234365129501,0.2630039535284245,10.0,0
0.0067740000000000005,0.23067300000000002,0.002258,0.5397978521794062,0.2620685875169137,11.0,0
0.026668,0.21700600000000003,0.008889333333333334,0.5423246999368289,0.2612527228108522,8.0,0
0.384434,0.47987199999999997,0.12814466666666666,0.5448515476942514,0.2600842242288021,8.0,0
0.73986,0.760405,0.24661999999999998,0.5470625394819962,0.2589610286603458,7.0,0
0.737325,0.764478,0.245775,0.9969049829774064,0.8607731329666304,2902.0,1
0.37717100000000003,0.763993,0.12572366666666668,0.5486418193303854,0.25472282260889145,-502.0,0
0.017849,0.7616099999999999,0.0059496666666666665,0.5495893872394189,0.25277262693691993,3.0,0
0.0027059999999999996,0.76041,0.0009019999999999999,0.5499052432090966,0.251098271988382,1.0,0
0.265947,1.003272,0.08864899999999999,0.5505369551484524,0.24929747919396644,2.0,0
2.191734,2.56891,0.730578,0.5505369551484524,0.24769515169741962,0.0,0
2.909033,2.929583,0.9696776666666667,0.5505369551484524,0.24658756059937836,0.0,0
2.881143,3.1470899999999995,0.9603809999999999,0.5505369551484524,0.24562679294766512,0.0,0
0.978363,3.1701019999999995,0.326121,0.5505369551484524,0.24481325733364326,0.0,0
0.329627,3.241361,0.10987566666666666,0.5505369551484524,0.2439565895458922,3.0,0
0.25639999999999996,3.400784,0.08546666666666665,0.5499052432090966,0.24331383327424985,4.0,0
0.61671,3.5208649999999997,0.20557,0.5489576753000631,0.24287489027405013,5.0,0
0.5765979999999999,1.6262249999999998,0.1921993333333333,0.5489576753000631,0.24269580428278692,7.0,0
0.416727,0.9084779999999998,0.138909,0.5489576753000631,0.24264098529753692,5.0,0
0.052018999999999996,0.6917409999999998,0.017339666666666666,0.5499052432090966,0.24238928958127276,3.0,0
0.135872,0.7837339999999997,0.04529066666666667,0.5505369551484524,0.24233764772973201,3.0,0
0.210978,0.7898289999999998,0.070326,0.5514845230574857,0.24193120116233813,3.0,0
0.31926200000000005,0.7546029999999997,0.10642066666666668,0.5521162349968415,0.24164743303410285,2.0,0
0.369239,0.5362629999999997,0.12307966666666666,0.5530638029058749,0.2407298423328716,3.0,0
0.34069,0.5539209999999998,0.11356333333333334,0.5536955148452306,0.24013657250237697,2.0,0
0.215751,0.5536269999999998,0.071917,0.5546430827542641,0.23957537508385346,3.0,0
0.050769,0.5350129999999997,0.016923,0.5552747946936197,0.23890472982779393,2.0,0
0.001959,0.42000799999999977,0.0006529999999999999,0.5562223626026532,0.23803403070701107,3.0,0
1.3e-05,0.34266199999999974,4.333333333333333e-06,0.5568540745420089,0.23751813630208124,2.0,0
0.317739,0.5334899999999998,0.105913,0.5578016424510424,0.23676281526541795,3.0,0
1.772491,1.8232599999999999,0.5908303333333333,0.5587492103600759,0.23772616132651303,17.0,0
1.856717,1.8586889999999998,0.6189056666666667,0.5596967782691092,0.2385577215681566,17.0,0
1.580221,1.8979599999999999,0.5267403333333334,0.5619077700568541,0.23960103791551582,13.0,0
