Rain_3day_sum,Rain_7day_sum,Rain_3day_avg,Max_River_Rise,Max_Normalized_River_Level,Avg_Normalized_River_Level,Flood_Label
0.002997803,0.004224096,0.002997803,0,0.478205938,0.207923616,0
0.00325025,0.004863043,0.00325025,0,0.47409981,0.205944244,0
0.002656452,0.005056666,0.002656452,0,0.470309539,0.203764818,0
0.002926675,0.005967933,0.002926675,0,0.467150979,0.202177088,0
0.00285506,0.005855899,0.00285506,0,0.463044852,0.200073449,0
0.002874103,0.005651911,0.002874103,0,0.45925458,0.198250416,0
0.001725005,0.00515888,0.001725005,0,0.454832596,0.196067813,0
0.001604871,0.004651628,0.001604871,0,0.451042325,0.194109031,0
0.004129594,0.006412155,0.004129594,0,0.446936197,0.192071285,0
0.004532445,0.006780785,0.004532445,0,0.443145925,0.190112502,0
0.003905076,0.005497513,0.003905076,0,0.439039798,0.188074756,0
0.001131607,0.00492213,0.001131607,0,0.435249526,0.186115974,0
0.000648726,0.004856817,0.000648726,0,0.431143399,0.184078228,0
0.013612348,0.015774815,0.013612348,0,0.427668983,0.182121034,0
0.031798152,0.031025983,0.031798152,0.044164734,0.423562855,0.180779667,0
0.049336635,0.043940941,0.049336635,0.187700121,0.420404296,0.181686952,0
0.043408842,0.049385728,0.043408842,0.237385448,0.416614024,0.183059073,0
0.028486679,0.052278213,0.028486679,0.27602959,0.413139608,0.185125401,0
0.011262695,0.052699858,0.011262695,0.298111958,0.409033481,0.187343303,0
0.004448465,0.052670824,0.004448465,0.314673733,0.405559065,0.189804028,0
0.004016046,0.043981651,0.004016046,0.115932428,0.405559065,0.190347841,0
0.009926531,0.033790565,0.009926531,0.071767693,0.407770057,0.19097263,0
0.01321113,0.021438217,0.01321113,0.066247102,0.410612761,0.192782213,0
0.016866564,0.021034302,0.016866564,0.06072651,0.414087176,0.194517597,0
0.021896214,0.028092724,0.021896214,0.049685326,0.416614024,0.195857579,0
0.022792747,0.03140662,0.022792747,0.055205918,0.419772584,0.196272232,0
0.019709275,0.034228164,0.019709275,0.055205918,0.422299431,0.194049185,0
0.010121191,0.033370977,0.010121191,0.055205918,0.424826279,0.191671387,0
0.006308467,0.028278593,0.006308467,0.038644143,0.426721415,0.188837438,0
0.004851766,0.027001006,0.004851766,0.044164734,0.429248263,0.186857795,0
0.007066853,0.024898556,0.007066853,0.016561775,0.430195831,0.184270004,0
0.010618615,0.01852845,0.010618615,0.027602959,0.429248263,0.183286286,0
0.015093036,0.020344156,0.015093036,0,0.425457991,0.181765441,0
0.018171527,0.023569083,0.018171527,0.011041184,0.422299431,0.180196713,0
0.020044173,0.027107448,0.020044173,0,0.418825016,0.178239519,0
0.016691055,0.029320509,0.016691055,0,0.415982312,0.176440253,0
0.015468405,0.032747787,0.015468405,0,0.41219204,0.174481471,0
0.015629345,0.034510222,0.015629345,0,0.408717625,0.172524277,0
0.01531443,0.033380315,0.01531443,0,0.404927353,0.170340887,0
0.015287361,0.032915792,0.015287361,0,0.400821226,0.16815215,0
0.014871826,0.031657438,0.014871826,0,0.396399242,0.165958064,0
0.014202524,0.028329869,0.014202524,0,0.392293114,0.163920318,0
0.016045632,0.032357787,0.016045632,0,0.387871131,0.161726232,0
0.08625164,0.092853674,0.08625164,0,0.384080859,0.159542843,0
0.287083249,0.263017607,0.287083249,0,0.380290587,0.157712087,0
0.313128009,0.289835003,0.313128009,0,0.377132028,0.156178768,0
0.288230782,0.328829186,0.288230782,0,0.373657612,0.154640101,0
0.105486629,0.341359391,0.105486629,0,0.370814908,0.153259362,0
0.073807674,0.341367133,0.073807674,0,0.367656349,0.151799659,0
0.025422059,0.336935654,0.025422059,0,0.364813645,0.15041892,0
0.010036742,0.275467165,0.010036742,0,0.361339229,0.148880253,0
0.012694065,0.104141673,0.012694065,0,0.35818067,0.14742055,0
0.025238312,0.088038213,0.025238312,0,0.354390398,0.145655687,0
0.022615971,0.045827664,0.022615971,0,0.351547694,0.144201332,0
0.022263896,0.032190765,0.022263896,0,0.348073279,0.14258905,0
0.017108868,0.039018787,0.017108868,0,0.344914719,0.140982115,0
0.03155646,0.051131211,0.03155646,0,0.340808591,0.139211904,0
0.133372939,0.138822103,0.133372939,0,0.337334176,0.137673237,0
0.124412371,0.135605781,0.124412371,0,0.333228048,0.135903026,0
0.110907812,0.125197492,0.110907812,0,0.329753632,0.134290743,0
0.013184187,0.130667776,0.013184187,0,0.325647505,0.132594148,0
0.02781511,0.140405129,0.02781511,0,0.322173089,0.131055481,0
0.03174155,0.1378483,0.03174155,0,0.318066961,0.129207895,0
0.030601143,0.129841848,0.030601143,0,0.314592546,0.127669228,0
0.030201041,0.051207004,0.030201041,0,0.310486418,0.126127384,0
0.043361809,0.06777536,0.043361809,0,0.307012003,0.124588717,0
0.055132129,0.081620516,0.055132129,0,0.302905875,0.122892122,0
0.050952879,0.083860241,0.050952879,0.06072651,0.299431459,0.122359336,0
0.042624049,0.080578553,0.042624049,0.088329469,0.295325332,0.122055499,0
0.029245987,0.079462956,0.029245987,0.082808877,0.291850916,0.121832214,0
0.035119761,0.08776685,0.035119761,0.088329469,0.288060644,0.121607341,0
0.031005618,0.081274156,0.031005618,0.077288285,0.284902085,0.121385645,0
0.068720251,0.101386809,0.068720251,0.038644143,0.281111813,0.12031716,0
0.158453237,0.177093976,0.158453237,0.011041184,0.277953253,0.119166959,0
0.165027913,0.179898679,0.165027913,0.022082367,0.274162982,0.118513855,0
0.124321264,0.172018818,0.124321264,0.027602959,0.271004422,0.11801492,0
0.017459141,0.16690356,0.017459141,0.027602959,0.267530006,0.117359645,0
0.021721846,0.1683154,0.021721846,0.027602959,0.264687303,0.116707548,0
0.054548881,0.192373342,0.054548881,0.022082367,0.261212887,0.115669156,0
0.075686643,0.172926412,0.075686643,0.033123551,0.258370183,0.114858548,0
0.066380514,0.088713159,0.066380514,0.033123551,0.254895768,0.113657886,0
0.030793697,0.07632003,0.030793697,0.027602959,0.252053064,0.112541536,0
0.010260662,0.074314367,0.010260662,0.027602959,0.248578648,0.111267258,0
0.000857699,0.074360244,0.000857699,0.027602959,0.245735944,0.110383034,0
0.002407004,0.059621222,0.002407004,0,0.242261529,0.108748194,0
0.003066506,0.02980485,0.003066506,0.038644143,0.239418825,0.108088578,0
0.004302587,0.012644562,0.004302587,0.011041184,0.235944409,0.106902954,0
0.004038577,0.00572298,0.004038577,0,0.233101706,0.105499658,0
0.004304642,0.006903516,0.004304642,0,0.22962729,0.103887375,0
0.007136355,0.009943417,0.007136355,0,0.226784586,0.102657628,0
0.030557227,0.031399955,0.030557227,0,0.223626027,0.101124309,0
0.037599833,0.03732977,0.037599833,0,0.221099179,0.099826293,0
0.039439512,0.041390002,0.039439512,0,0.217940619,0.098292974,0
0.020340056,0.045265283,0.020340056,0,0.215413771,0.096917584,0
0.021320279,0.052270811,0.021320279,0,0.212255212,0.095384265,0
0.018319359,0.053506543,0.018319359,0,0.209728364,0.094086249,0
0.012929643,0.050273919,0.012929643,0,0.206569804,0.09255293,0
0.003663934,0.02901999,0.003663934,0,0.204042956,0.091177539,0
0.000765599,0.021661198,0.000765599,0,0.200884397,0.089717836,0
0.009231211,0.024157081,0.009231211,0,0.198673405,0.088568641,0
0.010517557,0.020527866,0.010517557,0,0.195830701,0.087265278,0
0.014448597,0.015720228,0.014448597,0,0.193619709,0.086042467,0
0.008679926,0.015823228,0.008679926,0,0.190777006,0.084742863,0
