Rain_3day_sum,Rain_7day_sum,Rain_3day_avg,Max_Normalized_River_Level,Avg_Normalized_River_Level,Max_River_Rise
0.28973099999999996,3.52832,0.09657699999999998,0.4161718256475048,0.21302762380339557,11.0
0.279311,3.374147,0.09310366666666665,0.41844598862918514,0.2125030110983091,9.0
0.210128,1.524048,0.07004266666666667,0.4214782059380922,0.21210601163457748,12.0
0.18985300000000002,0.711582,0.06328433333333335,0.42375236891977264,0.2115164910636639,9.0
0.09305000000000001,0.48006899999999997,0.031016666666666668,0.4265319014529375,0.2110533128806214,11.0
0.016644,0.374749,0.005548,0.42905874921036014,0.2104031628227396,10.0
0.0067740000000000005,0.23067300000000002,0.002258,0.4318382817435249,0.20965487001353092,11.0
0.026668,0.21700600000000003,0.008889333333333334,0.433859759949463,0.20900217824868172,8.0
0.384434,0.47987199999999997,0.12814466666666666,0.43588123815540114,0.2080673793830417,8.0
0.73986,0.760405,0.24661999999999998,0.437650031585597,0.20716882292827665,7.0
0.737325,0.764478,0.245775,0.76,0.7088392857142858,2902.0
0.37717100000000003,0.763993,0.12572366666666668,0.4389134554643083,0.20377825808711317,-502.0
0.017849,0.7616099999999999,0.0059496666666666665,0.43967150979153513,0.20221810154953596,3.0
0.0027059999999999996,0.76041,0.0009019999999999999,0.4399241945672773,0.20087861759070563,1.0
0.265947,1.003272,0.08864899999999999,0.44042956411876183,0.19943798335517313,2.0
2.191734,2.56891,0.730578,0.44042956411876183,0.19815612135793567,0.0
2.909033,2.929583,0.9696776666666667,0.44042956411876183,0.19727004847950266,0.0
2.881143,3.1470899999999995,0.9603809999999999,0.44042956411876183,0.19650143435813205,0.0
0.978363,3.1701019999999995,0.326121,0.44042956411876183,0.1958506058669146,0.0
0.329627,3.241361,0.10987566666666666,0.44042956411876183,0.19516527163671377,3.0
0.25639999999999996,3.400784,0.08546666666666665,0.4399241945672773,0.1946510666193999,4.0
0.61671,3.5208649999999997,0.20557,0.43916614024005063,0.19429991221924012,5.0
0.5765979999999999,1.6262249999999998,0.1921993333333333,0.43916614024005063,0.1941566434262296,7.0
0.416727,0.9084779999999998,0.138909,0.43916614024005063,0.19411278823802958,5.0
0.052018999999999996,0.6917409999999998,0.017339666666666666,0.4399241945672773,0.19391143166501823,3.0
0.135872,0.7837339999999997,0.04529066666666667,0.44042956411876183,0.1938701181837856,3.0
0.210978,0.7898289999999998,0.070326,0.4411876184459887,0.19354496092987053,3.0
0.31926200000000005,0.7546029999999997,0.10642066666666668,0.4416929879974732,0.19331794642728228,2.0
0.369239,0.5362629999999997,0.12307966666666666,0.4424510423246999,0.19258387386629727,3.0
0.34069,0.5539209999999998,0.11356333333333334,0.4429564118761845,0.1921092580019016,2.0
0.215751,0.5536269999999998,0.071917,0.4437144662034113,0.1916603000670828,3.0
0.050769,0.5350129999999997,0.016923,0.4442198357548958,0.19112378386223516,2.0
0.001959,0.42000799999999977,0.0006529999999999999,0.44497789008212263,0.19042722456560887,3.0
1.3e-05,0.34266199999999974,4.333333333333333e-06,0.44548325963360713,0.190014509041665,2.0
0.317739,0.5334899999999998,0.105913,0.44624131396083383,0.18941025221233437,3.0
1.772491,1.8232599999999999,0.5908303333333333,0.4469993682880607,0.19018092906121042,17.0
1.856717,1.8586889999999998,0.6189056666666667,0.4477574226152875,0.1908461772545253,17.0
1.580221,1.8979599999999999,0.5267403333333334,0.4495262160454833,0.19168083033241268,13.0
0.149928,1.9224189999999999,0.049976,0.45129500947567913,0.19210356057785485,9.0
0.077782,1.9345119999999998,0.025927333333333333,0.4528111181301327,0.19262443357462386,8.0
0.073095,1.9710419999999997,0.024364999999999998,0.454074542008844,0.19279702075129113,7.0
0.081425,1.6861049999999997,0.027141666666666665,0.4548325963360707,0.19271946485918354,5.0
0.07663800000000001,0.2386589999999998,0.025546000000000003,0.4555906506632976,0.19333325824802744,4.0
0.046964,0.16128899999999977,0.015654666666666667,0.4560960202147821,0.19358974324064362,6.0
0.07014000000000001,0.1760239999999998,0.02338,0.4573594440934934,0.19334171188183047,6.0
0.078679,0.16740999999999978,0.026226333333333334,0.4581174984207202,0.19268222350898,6.0
0.07905000000000001,0.16255699999999979,0.026350000000000002,0.4593809222994315,0.1923692842843397,7.0
0.028321000000000002,0.13124999999999978,0.009440333333333334,0.4601389766266583,0.19158298770521018,7.0
0.013775,0.09975999999999978,0.004591666666666667,0.4608970309538851,0.19130502003796113,7.0
0.071426,0.1573449999999998,0.02380866666666667,0.4614024005053696,0.19090498836169995,6.0
0.312392,0.39667799999999975,0.10413066666666666,0.46241313960833863,0.19050749839240613,6.0
0.6857850000000001,0.7154049999999998,0.22859500000000002,0.4626658243840809,0.19015907362698722,9.0
1.158942,1.2376079999999998,0.386314,0.4631711939355654,0.18981191971505196,9.0
1.0814219999999999,1.39905,0.36047399999999996,0.4631711939355654,0.18995441929438897,10.0
0.8512559999999998,1.5383399999999998,0.28375199999999995,0.4631711939355654,0.19062662733632435,11.0
4.7932570000000005,6.01709,1.5977523333333334,0.4626658243840809,0.19086900633887985,9.0
5.6478969999999995,6.975521,1.8826323333333332,0.4626658243840809,0.19127524099366516,9.0
6.494482,7.72043,2.164827333333333,0.46241313960833863,0.19139208264342528,10.0
3.039144999999999,8.37045,1.013048333333333,0.46190777005685413,0.1915481742294357,9.0
2.292896999999999,8.109475999999999,0.7642989999999997,0.4608970309538851,0.1914785098227645,9.0
1.4362229999999991,8.075230999999999,0.4787409999999997,0.459886291850916,0.1912017648440197,8.0
